state_left,state_right,choice,current_state,reward,participant,reward.0.0,reward.0.1,reward.1.0,reward.1.1,task,trial
0.0,1.0,0.0,999.0,0.0,0.0,0.25,0.75,0.6,0.4,1,0
1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.6,0.4,1,1
0.0,1.0,0.0,999.0,0.0,0.0,0.26971512719402,0.71654934266245,0.62452640905092,0.39856128659918,1,2
1.0,0.0,1.0,1.0,1.0,0.0,0.26971512719402,0.71654934266245,0.62452640905092,0.39856128659918,1,3
1.0,0.0,1.0,999.0,0.0,0.0,0.27297652169604,0.74931152603425,0.5932109472128,0.41391904172679,1,4
0.0,1.0,1.0,0.0,1.0,0.0,0.27297652169604,0.74931152603425,0.5932109472128,0.41391904172679,1,5
1.0,0.0,0.0,999.0,0.0,0.0,0.25422199135372,0.73983715904448,0.56479525593179,0.38418654031799,1,6
1.0,0.0,1.0,1.0,0.0,0.0,0.25422199135372,0.73983715904448,0.56479525593179,0.38418654031799,1,7
0.0,1.0,0.0,999.0,0.0,0.0,0.28269414977356,0.70578682165229,0.55891207950972,0.36258964066352,1,8
1.0,0.0,0.0,0.0,0.0,0.0,0.28269414977356,0.70578682165229,0.55891207950972,0.36258964066352,1,9
1.0,0.0,0.0,999.0,0.0,0.0,0.29906020963189,0.69392741575522,0.58192285904501,0.3931045716211,1,10
0.0,1.0,1.0,0.0,1.0,0.0,0.29906020963189,0.69392741575522,0.58192285904501,0.3931045716211,1,11
0.0,1.0,0.0,999.0,0.0,0.0,0.2645092864979,0.68978230498291,0.59811477373298,0.36310138253964,1,12
1.0,0.0,1.0,1.0,0.0,0.0,0.2645092864979,0.68978230498291,0.59811477373298,0.36310138253964,1,13
0.0,1.0,1.0,999.0,0.0,0.0,0.29025461182231,0.69857745366217,0.57382889575489,0.32002234581815,1,14
0.0,1.0,1.0,1.0,0.0,0.0,0.29025461182231,0.69857745366217,0.57382889575489,0.32002234581815,1,15
1.0,0.0,1.0,999.0,0.0,0.0,0.30811267715836,0.73890035189335,0.55775423291025,0.36636363060083,1,16
0.0,1.0,0.0,1.0,1.0,0.0,0.30811267715836,0.73890035189335,0.55775423291025,0.36636363060083,1,17
0.0,1.0,1.0,999.0,0.0,0.0,0.29442784055862,0.73072515190841,0.61013981015313,0.35561142855584,1,18
1.0,0.0,1.0,0.0,1.0,0.0,0.29442784055862,0.73072515190841,0.61013981015313,0.35561142855584,1,19
0.0,1.0,1.0,999.0,0.0,0.0,0.29882476160163,0.72661539074005,0.62781797320054,0.37610512937649,1,20
0.0,1.0,1.0,0.0,1.0,0.0,0.29882476160163,0.72661539074005,0.62781797320054,0.37610512937649,1,21
1.0,0.0,1.0,999.0,0.0,0.0,0.3079520555843,0.72733559612043,0.64179459355789,0.40113248145331,1,22
0.0,1.0,1.0,0.0,1.0,0.0,0.3079520555843,0.72733559612043,0.64179459355789,0.40113248145331,1,23
1.0,0.0,1.0,999.0,0.0,0.0,0.29930476175195,0.72533705935422,0.65227180624415,0.39590060491682,1,24
