,participant,task,trial,choice,reward,forced,slot1_value,slot2_value
0,9,0,0,1,21,1,40,10
1,9,0,1,1,6,1,40,10
2,9,0,2,1,17,1,40,10
3,9,0,3,0,33,1,40,10
4,9,0,4,0,31,0,40,10
5,9,0,5,0,43,0,40,10
6,9,0,6,0,47,0,40,10
7,9,0,7,0,53,0,40,10
8,9,0,8,0,46,0,40,10
9,9,0,9,0,33,0,40,10
10,9,1,0,0,39,1,40,28
11,9,1,1,1,38,1,40,28
12,9,1,2,1,25,1,40,28
13,9,1,3,1,28,1,40,28
14,9,1,4,1,10,0,40,28
15,9,1,5,0,47,0,40,28
16,9,1,6,0,60,0,40,28
17,9,1,7,0,52,0,40,28
18,9,1,8,0,32,0,40,28
19,9,1,9,0,43,0,40,28
20,9,2,0,1,40,1,28,40
21,9,2,1,0,16,1,28,40
22,9,2,2,1,42,1,28,40
23,9,2,3,1,43,1,28,40
24,9,2,4,1,40,0,28,40
25,9,3,0,0,16,1,10,40
26,9,3,1,1,38,1,10,40
27,9,3,2,1,36,1,10,40
28,9,3,3,1,47,1,10,40
29,9,3,4,1,35,0,10,40
30,9,4,0,0,47,1,40,32
31,9,4,1,0,41,1,40,32
32,9,4,2,1,30,1,40,32
33,9,4,3,1,29,1,40,32
34,9,4,4,1,40,0,40,32
35,9,4,5,0,34,0,40,32
36,9,4,6,0,39,0,40,32
37,9,4,7,0,47,0,40,32
38,9,4,8,0,48,0,40,32
39,9,4,9,0,49,0,40,32
40,9,5,0,1,47,1,40,52
41,9,5,1,1,67,1,40,52
42,9,5,2,0,57,1,40,52
43,9,5,3,1,53,1,40,52
44,9,5,4,1,47,0,40,52
45,9,5,5,0,52,0,40,52
46,9,5,6,1,53,0,40,52
47,9,5,7,1,49,0,40,52
48,9,5,8,1,61,0,40,52
49,9,5,9,1,53,0,40,52
50,9,6,0,0,75,1,70,40
51,9,6,1,0,73,1,70,40
52,9,6,2,0,49,1,70,40
53,9,6,3,1,25,1,70,40
54,9,6,4,0,64,0,70,40
55,9,7,0,0,24,1,30,60
56,9,7,1,0,35,1,30,60
57,9,7,2,0,29,1,30,60
58,9,7,3,1,55,1,30,60
59,9,7,4,1,54,0,30,60
60,9,7,5,1,64,0,30,60
61,9,7,6,1,53,0,30,60
62,9,7,7,1,71,0,30,60
63,9,7,8,1,62,0,30,60
64,9,7,9,1,56,0,30,60
65,9,8,0,1,59,1,40,60
66,9,8,1,1,51,1,40,60
67,9,8,2,0,46,1,40,60
68,9,8,3,0,50,1,40,60
69,9,8,4,1,58,0,40,60
70,9,9,0,0,41,1,48,40
71,9,9,1,0,36,1,48,40
72,9,9,2,1,56,1,48,40
73,9,9,3,1,27,1,48,40
74,9,9,4,1,34,0,48,40
75,9,10,0,1,65,1,60,64
76,9,10,1,1,55,1,60,64
77,9,10,2,0,59,1,60,64
78,9,10,3,0,73,1,60,64
79,9,10,4,0,72,0,60,64
80,9,11,0,1,58,1,40,48
81,9,11,1,0,47,1,40,48
82,9,11,2,1,44,1,40,48
83,9,11,3,0,41,1,40,48
84,9,11,4,1,44,0,40,48
85,9,12,0,1,64,1,40,70
86,9,12,1,1,75,1,40,70
87,9,12,2,0,37,1,40,70
88,9,12,3,0,46,1,40,70
89,9,12,4,1,70,0,40,70
90,9,13,0,0,33,1,30,60
91,9,13,1,1,58,1,30,60
92,9,13,2,0,32,1,30,60
93,9,13,3,1,64,1,30,60
94,9,13,4,1,54,0,30,60
95,9,14,0,0,51,1,52,40
96,9,14,1,0,45,1,52,40
97,9,14,2,1,40,1,52,40
98,9,14,3,0,49,1,52,40
99,9,14,4,0,60,0,52,40
100,9,15,0,1,56,1,90,60
101,9,15,1,0,92,1,90,60
102,9,15,2,0,100,1,90,60
103,9,15,3,1,53,1,90,60
104,9,15,4,0,82,0,90,60
105,9,15,5,0,81,0,90,60
106,9,15,6,0,92,0,90,60
107,9,15,7,0,83,0,90,60
108,9,15,8,0,86,0,90,60
109,9,15,9,0,96,0,90,60
110,9,16,0,0,42,1,40,36
111,9,16,1,1,39,1,40,36
112,9,16,2,0,35,1,40,36
113,9,16,3,0,39,1,40,36
114,9,16,4,0,30,0,40,36
115,9,17,0,0,57,1,60,30
116,9,17,1,1,31,1,60,30
117,9,17,2,1,38,1,60,30
118,9,17,3,0,50,1,60,30
119,9,17,4,0,53,0,60,30
120,9,17,5,0,65,0,60,30
121,9,17,6,0,47,0,60,30
122,9,17,7,0,51,0,60,30
123,9,17,8,0,58,0,60,30
124,9,17,9,0,63,0,60,30
125,9,18,0,1,75,1,60,90
126,9,18,1,0,58,1,60,90
127,9,18,2,1,71,1,60,90
128,9,18,3,0,53,1,60,90
129,9,18,4,1,94,0,60,90
130,9,19,0,1,33,1,60,52
131,9,19,1,0,66,1,60,52
132,9,19,2,0,41,1,60,52
133,9,19,3,0,51,1,60,52
134,9,19,4,0,55,0,60,52
135,9,19,5,0,60,0,60,52
136,9,19,6,0,49,0,60,52
137,9,19,7,0,60,0,60,52
138,9,19,8,0,53,0,60,52
139,9,19,9,0,47,0,60,52
140,9,20,0,1,39,1,48,40
141,9,20,1,0,36,1,48,40
142,9,20,2,1,35,1,48,40
143,9,20,3,1,34,1,48,40
144,9,20,4,1,43,0,48,40
145,9,20,5,1,44,0,48,40
146,9,20,6,1,44,0,48,40
147,9,20,7,1,35,0,48,40
148,9,20,8,1,43,0,48,40
149,9,20,9,1,40,0,48,40
150,9,21,0,0,41,1,40,70
151,9,21,1,1,65,1,40,70
152,9,21,2,0,33,1,40,70
153,9,21,3,0,38,1,40,70
154,9,21,4,1,79,0,40,70
155,9,21,5,1,65,0,40,70
156,9,21,6,1,66,0,40,70
157,9,21,7,1,66,0,40,70
158,9,21,8,1,75,0,40,70
159,9,21,9,1,77,0,40,70
160,9,22,0,0,35,1,40,32
161,9,22,1,1,33,1,40,32
162,9,22,2,1,32,1,40,32
163,9,22,3,0,41,1,40,32
164,9,22,4,0,51,0,40,32
165,9,22,5,0,36,0,40,32
166,9,22,6,0,53,0,40,32
167,9,22,7,0,35,0,40,32
168,9,22,8,0,51,0,40,32
169,9,22,9,0,47,0,40,32
170,9,23,0,0,27,1,28,40
171,9,23,1,1,39,1,28,40
172,9,23,2,0,40,1,28,40
