,participant,task,trial,choice,reward,forced,slot1_value,slot2_value
0,7,0,0,0,49,1,40,36
1,7,0,1,1,43,1,40,36
2,7,0,2,1,33,1,40,36
3,7,0,3,1,32,1,40,36
4,7,0,4,1,39,0,40,36
5,7,0,5,0,46,0,40,36
6,7,0,6,1,47,0,40,36
7,7,0,7,0,38,0,40,36
8,7,0,8,1,34,0,40,36
9,7,0,9,1,55,0,40,36
10,7,1,0,0,55,1,60,48
11,7,1,1,1,53,1,60,48
12,7,1,2,0,50,1,60,48
13,7,1,3,1,57,1,60,48
14,7,1,4,0,64,0,60,48
15,7,1,5,1,41,0,60,48
16,7,1,6,0,72,0,60,48
17,7,1,7,1,45,0,60,48
18,7,1,8,0,66,0,60,48
19,7,1,9,1,49,0,60,48
20,7,2,0,1,35,1,40,36
21,7,2,1,0,32,1,40,36
22,7,2,2,0,39,1,40,36
23,7,2,3,1,38,1,40,36
24,7,2,4,0,57,0,40,36
25,7,2,5,1,43,0,40,36
26,7,2,6,0,34,0,40,36
27,7,2,7,1,43,0,40,36
28,7,2,8,0,32,0,40,36
29,7,2,9,1,31,0,40,36
30,7,3,0,1,56,1,40,48
31,7,3,1,0,54,1,40,48
32,7,3,2,0,39,1,40,48
33,7,3,3,1,47,1,40,48
34,7,3,4,0,26,0,40,48
35,7,4,0,1,18,1,40,10
36,7,4,1,0,54,1,40,10
37,7,4,2,1,10,1,40,10
38,7,4,3,0,35,1,40,10
39,7,4,4,1,10,0,40,10
40,7,5,0,1,57,1,60,56
41,7,5,1,0,51,1,60,56
42,7,5,2,1,54,1,60,56
43,7,5,3,0,58,1,60,56
44,7,5,4,1,42,0,60,56
45,7,6,0,1,55,1,40,48
46,7,6,1,1,57,1,40,48
47,7,6,2,0,51,1,40,48
48,7,6,3,1,38,1,40,48
49,7,6,4,1,40,0,40,48
50,7,6,5,0,57,0,40,48
51,7,6,6,1,40,0,40,48
52,7,6,7,0,32,0,40,48
53,7,6,8,1,49,0,40,48
54,7,6,9,0,42,0,40,48
55,7,7,0,0,57,1,56,60
56,7,7,1,0,62,1,56,60
57,7,7,2,0,58,1,56,60
58,7,7,3,1,71,1,56,60
59,7,7,4,1,73,0,56,60
60,7,8,0,1,55,1,48,60
61,7,8,1,0,47,1,48,60
62,7,8,2,1,66,1,48,60
63,7,8,3,1,70,1,48,60
64,7,8,4,0,47,0,48,60
65,7,8,5,1,68,0,48,60
66,7,8,6,0,38,0,48,60
67,7,8,7,1,67,0,48,60
68,7,8,8,0,54,0,48,60
69,7,8,9,1,54,0,48,60
70,7,9,0,1,73,1,80,60
71,7,9,1,1,60,1,80,60
72,7,9,2,0,75,1,80,60
73,7,9,3,1,66,1,80,60
74,7,9,4,0,81,0,80,60
75,7,10,0,1,48,1,40,60
76,7,10,1,0,33,1,40,60
77,7,10,2,0,41,1,40,60
78,7,10,3,0,46,1,40,60
79,7,10,4,1,59,0,40,60
80,7,11,0,1,63,1,40,70
81,7,11,1,0,55,1,40,70
82,7,11,2,1,78,1,40,70
83,7,11,3,0,36,1,40,70
84,7,11,4,0,44,0,40,70
85,7,11,5,1,61,0,40,70
86,7,11,6,0,35,0,40,70
87,7,11,7,1,53,0,40,70
88,7,11,8,0,38,0,40,70
89,7,11,9,1,69,0,40,70
90,7,12,0,0,43,1,40,32
91,7,12,1,1,29,1,40,32
92,7,12,2,0,13,1,40,32
93,7,12,3,0,43,1,40,32
94,7,12,4,1,19,0,40,32
95,7,13,0,1,26,1,40,36
96,7,13,1,0,45,1,40,36
97,7,13,2,0,42,1,40,36
98,7,13,3,0,42,1,40,36
99,7,13,4,1,32,0,40,36
100,7,13,5,0,44,0,40,36
101,7,13,6,1,49,0,40,36
102,7,13,7,0,47,0,40,36
103,7,13,8,1,34,0,40,36
104,7,13,9,0,39,0,40,36
105,7,14,0,0,81,1,72,60
106,7,14,1,1,58,1,72,60
107,7,14,2,0,71,1,72,60
108,7,14,3,1,64,1,72,60
109,7,14,4,0,52,0,72,60
110,7,14,5,1,72,0,72,60
111,7,14,6,0,72,0,72,60
112,7,14,7,1,56,0,72,60
113,7,14,8,0,68,0,72,60
114,7,14,9,1,75,0,72,60
115,7,15,0,1,54,1,40,60
116,7,15,1,1,63,1,40,60
117,7,15,2,0,33,1,40,60
118,7,15,3,0,28,1,40,60
119,7,15,4,1,58,0,40,60
120,7,15,5,0,29,0,40,60
121,7,15,6,1,55,0,40,60
122,7,15,7,0,41,0,40,60
123,7,15,8,1,65,0,40,60
124,7,15,9,0,31,0,40,60
125,7,16,0,0,33,1,40,70
126,7,16,1,1,58,1,40,70
127,7,16,2,1,65,1,40,70
128,7,16,3,1,64,1,40,70
129,7,16,4,0,44,0,40,70
130,7,17,0,1,61,1,40,60
131,7,17,1,1,60,1,40,60
132,7,17,2,0,34,1,40,60
133,7,17,3,0,38,1,40,60
134,7,17,4,0,33,0,40,60
135,7,17,5,1,61,0,40,60
136,7,17,6,0,25,0,40,60
137,7,17,7,1,52,0,40,60
138,7,17,8,0,40,0,40,60
139,7,17,9,1,67,0,40,60
140,7,18,0,1,25,1,70,40
141,7,18,1,0,67,1,70,40
142,7,18,2,0,77,1,70,40
143,7,18,3,0,62,1,70,40
144,7,18,4,0,75,0,70,40
145,7,18,5,1,37,0,70,40
146,7,18,6,0,79,0,70,40
147,7,18,7,1,42,0,70,40
148,7,18,8,0,76,0,70,40
149,7,18,9,1,38,0,70,40
150,7,19,0,0,70,1,60,56
151,7,19,1,1,58,1,60,56
152,7,19,2,1,53,1,60,56
153,7,19,3,1,50,1,60,56
154,7,19,4,0,66,0,60,56
155,7,20,0,0,17,1,20,40
156,7,20,1,1,52,1,20,40
157,7,20,2,0,20,1,20,40
158,7,20,3,1,48,1,20,40
159,7,20,4,0,32,0,20,40
160,7,21,0,0,84,1,80,60
161,7,21,1,0,100,1,80,60
162,7,21,2,0,76,1,80,60
163,7,21,3,1,66,1,80,60
164,7,21,4,0,100,0,80,60
165,7,22,0,0,53,1,48,40
166,7,22,1,1,44,1,48,40
167,7,22,2,0,38,1,48,40
168,7,22,3,0,42,1,48,40
169,7,22,4,0,53,0,48,40
170,7,22,5,1,35,0,48,40
171,7,22,6,0,48,0,48,40
172,7,22,7,1,35,0,48,40
173,7,22,8,0,48,0,48,40
174,7,22,9,1,39,0,48,40
175,7,23,0,1,26,1,40,32
176,7,23,1,0,29,1,40,32
177,7,23,2,1,38,1,40,32
178,7,23,3,1,38,1,40,32
179,7,23,4,0,41,0,40,32
180,7,23,5,1,30,0,40,32
181,7,23,6,0,37,0,40,32
182,7,23,7,1,20,0,40,32
183,7,23,8,0,29,0,40,32
184,7,23,9,1,24,0,40,32
185,7,24,0,1,66,1,48,60
186,7,24,1,0,62,1,48,60
187,7,24,2,1,74,1,48,60
188,7,24,3,1,53,1,48,60
189,7,24,4,0,45,0,48,60
190,7,24,5,1,69,0,48,60
191,7,24,6,0,54,0,48,60
192,7,24,7,1,84,0,48,60
193,7,24,8,0,53,0,48,60
194,7,24,9,1,46,0,48,60
195,7,25,0,1,82,1,60,90
196,7,25,1,0,67,1,60,90
197,7,25,2,0,73,1,60,90
198,7,25,3,1,81,1,60,90
199,7,25,4,0,63,0,60,90
200,7,26,0,1,63,1,52,60
201,7,26,1,1,56,1,52,60
202,7,26,2,1,54,1,52,60
203,7,26,3,0,50,1,52,60
204,7,26,4,0,63,0,52,60
205,7,27,0,1,75,1,60,80
206,7,27,1,0,68,1,60,80
207,7,27,2,1,80,1,60,80
208,7,27,3,1,80,1,60,80
209,7,27,4,0,53,0,60,80
210,7,27,5,1,89,0,60,80
211,7,27,6,0,51,0,60,80
212,7,27,7,1,85,0,60,80
213,7,27,8,0,58,0,60,80
214,7,27,9,1,74,0,60,80
215,7,28,0,1,55,1,40,60
216,7,28,1,1,62,1,40,60
217,7,28,2,0,42,1,40,60
218,7,28,3,0,44,1,40,60
219,7,28,4,1,56,0,40,60
220,7,28,5,0,43,0,40,60
221,7,28,6,1,53,0,40,60
222,7,28,7,0,52,0,40,60
223,7,28,8,1,63,0,40,60
224,7,28,9,0,40,0,40,60
225,7,29,0,0,45,1,30,60
226,7,29,1,0,32,1,30,60
227,7,29,2,1,60,1,30,60
228,7,29,3,0,36,1,30,60
229,7,29,4,1,55,0,30,60
230,7,29,5,0,20,0,30,60
231,7,29,6,1,63,0,30,60
232,7,29,7,0,26,0,30,60
233,7,29,8,1,65,0,30,60
234,7,29,9,0,17,0,30,60
235,7,30,0,0,49,1,60,68
236,7,30,1,1,73,1,60,68
237,7,30,2,0,54,1,60,68
238,7,30,3,1,64,1,60,68
239,7,30,4,0,61,0,60,68
240,7,30,5,1,67,0,60,68
241,7,30,6,0,58,0,60,68
242,7,30,7,1,70,0,60,68
243,7,30,8,0,58,0,60,68
244,7,30,9,1,61,0,60,68
245,7,31,0,1,51,1,68,60
246,7,31,1,1,67,1,68,60
247,7,31,2,0,73,1,68,60
248,7,31,3,1,67,1,68,60
249,7,31,4,0,70,0,68,60
250,7,32,0,1,59,1,40,48
251,7,32,1,1,48,1,40,48
252,7,32,2,0,43,1,40,48
253,7,32,3,0,35,1,40,48
254,7,32,4,1,47,0,40,48
255,7,32,5,0,43,0,40,48
256,7,32,6,1,45,0,40,48
257,7,32,7,0,38,0,40,48
258,7,32,8,1,32,0,40,48
259,7,32,9,0,23,0,40,48
260,7,33,0,1,33,1,40,20
261,7,33,1,1,24,1,40,20
262,7,33,2,0,24,1,40,20
263,7,33,3,1,27,1,40,20
264,7,33,4,0,38,0,40,20
265,7,33,5,1,30,0,40,20
266,7,33,6,0,48,0,40,20
267,7,33,7,1,24,0,40,20
268,7,33,8,0,42,0,40,20
269,7,33,9,1,16,0,40,20
270,7,34,0,0,33,1,30,60
271,7,34,1,1,56,1,30,60
272,7,34,2,1,70,1,30,60
273,7,34,3,1,69,1,30,60
274,7,34,4,0,26,0,30,60
275,7,34,5,1,53,0,30,60
276,7,34,6,0,12,0,30,60
277,7,34,7,1,58,0,30,60
278,7,34,8,0,15,0,30,60
279,7,34,9,1,57,0,30,60
280,7,35,0,1,61,1,40,60
281,7,35,1,0,43,1,40,60
282,7,35,2,0,38,1,40,60
283,7,35,3,0,47,1,40,60
284,7,35,4,1,68,0,40,60
285,7,35,5,0,37,0,40,60
286,7,35,6,1,59,0,40,60
287,7,35,7,0,38,0,40,60
288,7,35,8,1,57,0,40,60
289,7,35,9,0,30,0,40,60
290,7,36,0,0,34,1,36,40
291,7,36,1,1,36,1,36,40
292,7,36,2,1,33,1,36,40
293,7,36,3,0,26,1,36,40
294,7,36,4,1,44,0,36,40
295,7,36,5,0,25,0,36,40
296,7,36,6,1,36,0,36,40
297,7,36,7,0,33,0,36,40
298,7,36,8,1,34,0,36,40
299,7,36,9,0,36,0,36,40
300,7,37,0,1,59,1,80,60
301,7,37,1,1,50,1,80,60
302,7,37,2,0,69,1,80,60
303,7,37,3,0,82,1,80,60
304,7,37,4,1,54,0,80,60
305,7,38,0,0,41,1,40,10
306,7,38,1,0,33,1,40,10
307,7,38,2,1,14,1,40,10
308,7,38,3,1,1,1,40,10
309,7,38,4,0,37,0,40,10
310,7,38,5,1,7,0,40,10
311,7,38,6,0,26,0,40,10
312,7,38,7,1,12,0,40,10
313,7,38,8,0,35,0,40,10
314,7,38,9,1,10,0,40,10
315,7,39,0,1,29,1,40,36
316,7,39,1,0,53,1,40,36
317,7,39,2,0,33,1,40,36
318,7,39,3,0,37,1,40,36
319,7,39,4,1,26,0,40,36
320,7,39,5,0,39,0,40,36
321,7,39,6,1,35,0,40,36
322,7,39,7,0,44,0,40,36
323,7,39,8,1,40,0,40,36
324,7,39,9,0,36,0,40,36
325,7,40,0,0,63,1,60,68
326,7,40,1,1,72,1,60,68
327,7,40,2,0,62,1,60,68
328,7,40,3,1,70,1,60,68
329,7,40,4,0,55,0,60,68
330,7,40,5,1,85,0,60,68
331,7,40,6,0,64,0,60,68
332,7,40,7,1,72,0,60,68
333,7,40,8,0,52,0,60,68
334,7,40,9,1,55,0,60,68
335,7,41,0,0,32,1,32,40
336,7,41,1,0,39,1,32,40
337,7,41,2,0,42,1,32,40
338,7,41,3,1,39,1,32,40
339,7,41,4,0,36,0,32,40
340,7,41,5,1,26,0,32,40
341,7,41,6,0,30,0,32,40
342,7,41,7,1,32,0,32,40
343,7,41,8,0,19,0,32,40
344,7,41,9,1,37,0,32,40
345,7,42,0,1,56,1,64,60
346,7,42,1,1,59,1,64,60
347,7,42,2,0,65,1,64,60
