,participant,task,trial,choice,reward,forced,slot1_value,slot2_value
0,12,0,0,1,15,1,40,20
1,12,0,1,0,36,1,40,20
2,12,0,2,0,40,1,40,20
3,12,0,3,1,15,1,40,20
4,12,0,4,0,32,0,40,20
5,12,0,5,0,36,0,40,20
6,12,0,6,0,39,0,40,20
7,12,0,7,0,44,0,40,20
8,12,0,8,0,28,0,40,20
9,12,0,9,0,46,0,40,20
10,12,1,0,0,55,1,60,52
11,12,1,1,0,65,1,60,52
12,12,1,2,0,70,1,60,52
13,12,1,3,1,54,1,60,52
14,12,1,4,0,48,0,60,52
15,12,2,0,0,82,1,80,60
16,12,2,1,1,68,1,80,60
17,12,2,2,0,73,1,80,60
18,12,2,3,0,87,1,80,60
19,12,2,4,0,87,0,80,60
20,12,2,5,0,82,0,80,60
21,12,2,6,0,72,0,80,60
22,12,2,7,0,85,0,80,60
23,12,2,8,0,83,0,80,60
24,12,2,9,0,73,0,80,60
25,12,3,0,0,19,1,20,40
26,12,3,1,1,43,1,20,40
27,12,3,2,0,14,1,20,40
28,12,3,3,1,50,1,20,40
29,12,3,4,1,26,0,20,40
30,12,4,0,0,57,1,60,68
31,12,4,1,1,62,1,60,68
32,12,4,2,1,82,1,60,68
33,12,4,3,0,58,1,60,68
34,12,4,4,1,72,0,60,68
35,12,4,5,1,83,0,60,68
36,12,4,6,1,62,0,60,68
37,12,4,7,1,73,0,60,68
38,12,4,8,1,59,0,60,68
39,12,4,9,1,66,0,60,68
40,12,5,0,1,56,1,40,60
41,12,5,1,1,75,1,40,60
42,12,5,2,1,58,1,40,60
43,12,5,3,0,49,1,40,60
44,12,5,4,1,64,0,40,60
45,12,6,0,0,65,1,60,40
46,12,6,1,1,34,1,60,40
47,12,6,2,1,30,1,60,40
48,12,6,3,0,72,1,60,40
49,12,6,4,0,61,0,60,40
50,12,7,0,0,73,1,72,60
51,12,7,1,0,71,1,72,60
52,12,7,2,1,52,1,72,60
53,12,7,3,1,47,1,72,60
54,12,7,4,0,89,0,72,60
55,12,7,5,0,75,0,72,60
56,12,7,6,0,70,0,72,60
57,12,7,7,0,67,0,72,60
58,12,7,8,0,69,0,72,60
59,12,7,9,0,75,0,72,60
60,12,8,0,0,35,1,40,52
61,12,8,1,0,47,1,40,52
62,12,8,2,1,43,1,40,52
63,12,8,3,1,57,1,40,52
64,12,8,4,1,52,0,40,52
65,12,9,0,1,29,1,40,20
66,12,9,1,0,36,1,40,20
67,12,9,2,0,41,1,40,20
68,12,9,3,0,43,1,40,20
69,12,9,4,0,45,0,40,20
70,12,9,5,0,25,0,40,20
71,12,9,6,0,47,0,40,20
72,12,9,7,0,36,0,40,20
73,12,9,8,0,42,0,40,20
74,12,9,9,0,36,0,40,20
75,12,10,0,1,49,1,40,44
76,12,10,1,0,45,1,40,44
77,12,10,2,1,45,1,40,44
78,12,10,3,0,40,1,40,44
79,12,10,4,1,37,0,40,44
80,12,11,0,0,77,1,60,68
81,12,11,1,0,52,1,60,68
82,12,11,2,0,78,1,60,68
83,12,11,3,1,56,1,60,68
84,12,11,4,0,50,0,60,68
85,12,12,0,1,37,1,40,44
86,12,12,1,1,48,1,40,44
87,12,12,2,0,39,1,40,44
88,12,12,3,0,26,1,40,44
89,12,12,4,1,45,0,40,44
90,12,12,5,1,41,0,40,44
91,12,12,6,1,38,0,40,44
92,12,12,7,1,35,0,40,44
93,12,12,8,1,47,0,40,44
94,12,12,9,1,47,0,40,44
95,12,13,0,1,15,1,40,28
96,12,13,1,0,33,1,40,28
97,12,13,2,1,31,1,40,28
98,12,13,3,1,41,1,40,28
99,12,13,4,1,30,0,40,28
100,12,14,0,0,43,1,36,40
101,12,14,1,1,39,1,36,40
102,12,14,2,0,39,1,36,40
103,12,14,3,1,40,1,36,40
104,12,14,4,0,54,0,36,40
105,12,14,5,1,39,0,36,40
106,12,14,6,0,24,0,36,40
107,12,14,7,0,27,0,36,40
108,12,14,8,0,33,0,36,40
109,12,14,9,0,31,0,36,40
110,12,15,0,1,30,1,48,40
111,12,15,1,1,42,1,48,40
112,12,15,2,0,51,1,48,40
113,12,15,3,1,43,1,48,40
