,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,CorrAns,GivenAns,ConfidenceNum
0,2003,0,G.P.,opt,nat,opt_nat,0,3,12,PD,def,coop,60
1,2003,0,G.P.,opt,nat,opt_nat,1,7,8,HG,coop,coop,60
2,2003,0,G.P.,opt,nat,opt_nat,2,3,8,SH,coop,coop,60
3,2003,0,G.P.,opt,nat,opt_nat,3,7,12,SG,def,coop,60
4,2003,0,G.P.,opt,nat,opt_nat,4,0,15,PD,def,coop,60
5,2003,0,G.P.,opt,nat,opt_nat,5,0,8,SH,coop,coop,60
6,2003,0,G.P.,opt,nat,opt_nat,6,7,15,SG,def,coop,60
7,2003,0,G.P.,opt,nat,opt_nat,7,7,5,HG,coop,coop,60
8,2003,0,G.P.,opt,nat,opt_nat,8,3,15,PD,def,coop,60
9,2003,0,G.P.,opt,nat,opt_nat,9,0,5,SH,coop,coop,60
10,2003,0,G.P.,opt,nat,opt_nat,10,10,5,HG,coop,coop,60
11,2003,0,G.P.,opt,nat,opt_nat,11,10,15,SG,def,coop,60
12,2003,0,G.P.,opt,nat,opt_nat,12,10,12,SG,def,coop,60
13,2003,0,G.P.,opt,nat,opt_nat,13,0,12,PD,def,coop,60
14,2003,0,G.P.,opt,nat,opt_nat,14,3,5,SH,coop,coop,60
15,2003,0,G.P.,opt,nat,opt_nat,15,10,8,HG,coop,coop,60
16,2003,1,D.T.,pess,nat,pess_nat,0,3,15,PD,def,def,60
17,2003,1,D.T.,pess,nat,pess_nat,1,3,5,SH,def,def,60
18,2003,1,D.T.,pess,nat,pess_nat,2,7,12,SG,coop,coop,60
19,2003,1,D.T.,pess,nat,pess_nat,3,10,5,HG,coop,def,60
20,2003,1,D.T.,pess,nat,pess_nat,4,0,15,PD,def,def,60
21,2003,1,D.T.,pess,nat,pess_nat,5,0,5,SH,def,def,60
22,2003,1,D.T.,pess,nat,pess_nat,6,7,8,HG,coop,coop,60
23,2003,1,D.T.,pess,nat,pess_nat,7,7,15,SG,coop,def,60
24,2003,1,D.T.,pess,nat,pess_nat,8,3,12,PD,def,def,60
25,2003,1,D.T.,pess,nat,pess_nat,9,10,8,HG,coop,coop,60
